name,username,image,date,desc
bike4life,@redmundo99,https://nitter.moomoo.me/pic/profile_images%2F1324246860643512320%2FQKuOW1gm_bigger.jpg,"Jan 6, 2024 · 11:40 PM UTC","Impunitas Prabowo harus ditolak karena akan memanipulasi kasus pelanggaran HAM berat dan kejahatan kemanusiaan akan berulang, Lawan!
@zenrs 

#AsalBukanPrabowo
#LawanImpunitasPrabowo
#KembalikanKawanKami"
gubernur kopi,@hadi_khansa1,https://nitter.moomoo.me/pic/profile_images%2F1332400390399160320%2FkOGErJaI_bigger.jpg,"Jan 6, 2024 · 11:40 PM UTC",Gemoy tapi bukan prabowo
Democrazy News,@democrazymedia,https://nitter.moomoo.me/pic/profile_images%2F1480783321609113600%2F9C8OVc7R_bigger.png,"Jan 6, 2024 · 11:40 PM UTC","3 Analisis Petinggi PDIP Soal Pertemuan Empat Mata Prabowo-Jokowi
democrazy.id/2024/01/3-anali…"
call me Achi,@sukamakanbabiii,https://nitter.moomoo.me/pic/profile_images%2F1686932569500344321%2FG1yXhOW3_bigger.jpg,"Jan 6, 2024 Â· 11:37 PM UTC","ikutan deh, kalo prabowo-gibran menang, aku bakal buatin desain rumah + RAB buat 3 orang random yang ada di like ya"
Just DaNa,@ImaginarySteady,https://nitter.moomoo.me/pic/profile_images%2F1741866865499279360%2F6oMe-pro_bigger.jpg,"Jan 6, 2024 Â· 11:33 PM UTC",Terimakasih kritikan dan saran untuk Pak @prabowo  dan Mas @gibran_tweet
ðŸ�‰ Ø±Ø¬Ù„ ØµØ¯ÙŠÙ‚ GilbertRakaboomâ„¢ðŸ‡µðŸ‡¸,@dikrizal,https://nitter.moomoo.me/pic/profile_images%2F1716497506115420163%2F4IslGbMb_bigger.jpg,"Jan 6, 2024 Â· 11:31 PM UTC","Padahal @Fahrihamzah sdh dukung penuh @prabowo, eh lumbung sapi nasional BIMA gak dianggap sama sekali sbg sumber daya daging & susu nasional?

Kubu @ganjarpranowo pasti juga gak setuju dgn sapi importnya pak PS, krn banteng pasti terancam sapi."
bdxbgr,@tamharadtya2,https://nitter.moomoo.me/pic/profile_images%2F378800000406305204%2Fb5da49cc8f08c10008b101ecf29b6b00_bigger.jpeg,"Jan 6, 2024 Â· 11:30 PM UTC","Mantap pak Ganjar-Mahfud, gass pollll

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
Suara Parepare,@Suaraparepare,https://nitter.moomoo.me/pic/profile_images%2F1667918852825681921%2FU_6ex3me_bigger.jpg,"Jan 6, 2024 Â· 11:30 PM UTC",Sekjen Gerindra Ahmad Muzani Bocorkan Hasil Pertemuan Jokowi dan Prabowo dlvr.it/T135KJ
Democrazy News,@democrazymedia,https://nitter.moomoo.me/pic/profile_images%2F1480783321609113600%2F9C8OVc7R_bigger.png,"Jan 6, 2024 Â· 11:30 PM UTC","Janji Kampanye Prabowo-Gibran Bagi-Bagi Susu Sapi Harus Direvisi, Ini Alasannya
democrazy.id/2024/01/janji-kâ€¦"
tanya seyfert,@tanyaseyfert,https://nitter.moomoo.me/pic/abs.twimg.com%2Fsticky%2Fdefault_profile_images%2Fdefault_profile_bigger.png,"Jan 6, 2024 · 11:28 PM UTC","Pemimpin , Ganjar Pranowo Mahfud MD, bawa perubahan positif melalui kepemimpinan yang cerdas

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
鄧智浩,@tangchiho2011,https://nitter.moomoo.me/pic/profile_images%2F1721340956102832128%2F66xKUDxm_bigger.png,"Jan 6, 2024 · 11:28 PM UTC","Corporate_Slav3    cakOW    mohmahfudmd Bujur kada bengkok 

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
surya,@surya0047932386,https://nitter.moomoo.me/pic/abs.twimg.com%2Fsticky%2Fdefault_profile_images%2Fdefault_profile_bigger.png,"Jan 6, 2024 · 11:25 PM UTC","Srimulat dan Ganjar Pranowo, kolaborasi yang unik tapi berhasil menciptakan kebahagiaan

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
🍉 رجل صديق GilbertRakaboom™🇵🇸,@dikrizal,https://nitter.moomoo.me/pic/profile_images%2F1716497506115420163%2F4IslGbMb_bigger.jpg,"Jan 6, 2024 · 11:25 PM UTC","#nazarpemilu itu apa?

Lagian berdoa aja kpd Allah Ta’ala, pasti dikabulkan. Apalagi doanya baik, semoga @aniesbaswedan jd presiden, pak @prabowo tetap jd menhan & mas @ganjarpranowo tetap jd gubernur Jateng.

@MardaniAliSera & @ahmadsahroni88 @Roni_ASC jd paslon gubernur DKI Jkt"
Muhammad Gavin,@MEHMEDELGEPIN,https://nitter.moomoo.me/pic/profile_images%2F1415089863167070217%2FypwDYJJZ_bigger.jpg,"Jan 6, 2024 · 11:23 PM UTC","Bisikan Gibran ke pak Prabowo tadi malem: ""Pak besok jgn sampe blunder lu pak,debat wakil kemaren udah gokil abis loh saya""
PRABOWO: ""Lah kamu bisa jawab gokil tu kan karena saya juga""
GIBRAN: ""iya sih""

#nazarpemilu #GanjarUpToDat3 #prabowo #AniesMuhaimin2024 #AMINkanIndonesia"
✨⭐️shalom⭐️✨,@ShalomLoreto,https://nitter.moomoo.me/pic/profile_images%2F1277511166030307329%2FwBPrawRc_bigger.jpg,"Jan 6, 2024 · 11:22 PM UTC","selamat ulang tahun buat mas  , semoga tambah sukses d bidang apapun dan semangat terus berkarya ! 

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
Sifmeister,@SifTheArtist,https://nitter.moomoo.me/pic/profile_images%2F1226747429321572352%2FdcD9mIZi_bigger.jpg,"Jan 6, 2024 · 11:17 PM UTC","Ayo pak Kita menagkan  1 putaran 👍 

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
Samuel Suthen,@SamuelSuthen,https://nitter.moomoo.me/pic/abs.twimg.com%2Fsticky%2Fdefault_profile_images%2Fdefault_profile_bigger.png,"Jan 6, 2024 · 11:10 PM UTC","Keakraban Ganjar Pranowo dengan warga negara menciptakan hubungan yang erat antara pemimpin dan rakyat

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
Rocking Rahul,@Rocking90408377,https://nitter.moomoo.me/pic/profile_images%2F942335318211964928%2FkYt4NBh0_bigger.jpg,"Jan 6, 2024 · 11:09 PM UTC","Melihat Ganjar Pranowo bercanda, membuat kita yakin bahwa politik tidak harus selalu serius

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
rita coled,@ritacoles411,https://nitter.moomoo.me/pic/abs.twimg.com%2Fsticky%2Fdefault_profile_images%2Fdefault_profile_bigger.png,"Jan 6, 2024 Â· 11:08 PM UTC","Senyumin ajaÂ 

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
ðŸ�‰ Ø±Ø¬Ù„ ØµØ¯ÙŠÙ‚ GilbertRakaboomâ„¢ðŸ‡µðŸ‡¸,@dikrizal,https://nitter.moomoo.me/pic/profile_images%2F1716497506115420163%2F4IslGbMb_bigger.jpg,"Jan 6, 2024 Â· 11:03 PM UTC",Huwadawâ€¦!? ðŸ¤£ðŸ˜‚ðŸ¤£ kang @DediMulyadi71 ketaeanya kayak ketawa komika yg lagi meroasting pak Prabowo?
GAT,@GTaufik,https://nitter.moomoo.me/pic/profile_images%2F1627647698127179776%2FzBnuSJ3m_bigger.jpg,"Jan 6, 2024 Â· 11:03 PM UTC",Gila prabowo ini didukung zionis beneran
harman,@ratheeharman,https://nitter.moomoo.me/pic/profile_images%2F1721302382615658498%2F86yMKIax_bigger.png,"Jan 6, 2024 Â· 11:03 PM UTC","Ulang tahun paling berkesan ya mas , selamat ulang tahun masÂ  ðŸ¥°Â 

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
adia prabowo,@adia311,https://nitter.moomoo.me/pic/profile_images%2F1388596187939295232%2FP9dSNfte_bigger.jpg,"Jan 6, 2024 Â· 11:02 PM UTC",Bone chilling scene #kimjaeuck #kimjaewook #DeathsGameEp5
adia prabowo,@adia311,https://nitter.moomoo.me/pic/profile_images%2F1388596187939295232%2FP9dSNfte_bigger.jpg,"Jan 6, 2024 Â· 11:00 PM UTC",POV : Psikopat Berdarah Rendah #kimjaeuck #kimjaewook #DeathsGameEp5
#GolkarSolid,@golkarpedia,https://nitter.moomoo.me/pic/profile_images%2F1721401794914357249%2F8fw34_LP_bigger.jpg,"Jan 6, 2024 Â· 10:59 PM UTC","Ravindra Airlangga Ungkap Peran Penting Program Makan Siang Gratis Prabowo-Gibran Dalam Upaya Wujudkan Indonesia Emas 2045
#airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia
golkarpedia.com/ravindra-airâ€¦"
SETYAKI ðŸ‡²ðŸ‡¨.,@SETYAKI22965702,https://nitter.moomoo.me/pic/profile_images%2F1679880505561604096%2FxwC2dJfz_bigger.jpg,"Jan 6, 2024 Â· 10:54 PM UTC","KPU Prepare  "" DEBAT  KETIGA ""
Pemilu 2024.

7 Januari 2024  di Istora Senayan, 
JAKARTA. 

Meski Tema Debat Ketiga  , 
""  PRABOWO BANGET  "" ,  ANIES dan GANJAR Tak Bisa DIREMEHKAN."
sukardiyahya162@gmail.com,@sukardiyahya162,https://nitter.moomoo.me/pic/profile_images%2F1708698698950287360%2FtAGNAm3m_bigger.jpg,"Jan 6, 2024 · 10:53 PM UTC","Masa presiden @jokowi makan dgn pak @prabowo yg merupakan menterinya sendiri lalu pak @ganjarpranowo jadi baper ? 

nasional.kompas.com/read/202…"
Bung TD,@bangduha,https://nitter.moomoo.me/pic/profile_images%2F1489616485790420998%2FHTqPh4OG_bigger.jpg,"Jan 6, 2024 · 10:53 PM UTC","Nah lho @prabowo , apakah ini seorang pengkhianat ?"
Prince Kumar,@PrinceK80583114,https://nitter.moomoo.me/pic/profile_images%2F1413180660831854595%2FZT4nVVzE_bigger.jpg,"Jan 6, 2024 · 10:51 PM UTC","Ganjar Pranowo Mahfud MD, Pemimpin yang merakyat, wujudkan pemerintahan yang inklusif dan transparan

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
squidward.,@imranns_,https://nitter.moomoo.me/pic/profile_images%2F1378090300120264705%2Fg_l_qNLL_bigger.jpg,"Jan 6, 2024 · 10:49 PM UTC","Kalau prabowo kalah, saya #nazarpemilu bagi-bagi susu gratis di beberapa orang."
Pejuang Nasi Bungkus™️🇮🇩 ⚜️,@quintta1217,https://nitter.moomoo.me/pic/profile_images%2F1714550641899843584%2FIpVk0cTI_bigger.jpg,"Jan 6, 2024 · 10:46 PM UTC",Ternyata debat cawapres berikutnya nanti ada tema SMART FARMING dan Samsul sdh dapat bocoran terlebih dulu. Kalau Samsul saja sdh dapat bocoran lagikanya Prabowo tidak menutup kemungkinan sdh mengantongi materi debat malam ini jauh² hari.... Kecurangan apalagi yg kau dustakan?
DINUL,@dinul_27,https://nitter.moomoo.me/pic/profile_images%2F1259905225%2F19092010_082__bigger.jpg,"Jan 6, 2024 · 10:46 PM UTC","Coba anda ngaca, akan terlihat jelas kelemahan pak prabowo saat ini..."
Democrazy,@NegarakuApa,https://nitter.moomoo.me/pic/profile_images%2F724140639814742016%2FDoBAC_a2_bigger.jpg,"Jan 6, 2024 · 10:44 PM UTC","Gabung Gaspoll Bro, Komunitas Peduli Lingkungan Tergetkan Kemenangan Total Prabowo-Gibran di Bekasi - Tribun Jabar dlvr.it/T132y3 #MenangSeputaran"
Harian Jogja,@Harian_Jogja,https://nitter.moomoo.me/pic/profile_images%2F1427303328707321865%2FhoiphJoT_bigger.jpg,"Jan 6, 2024 · 10:42 PM UTC",Kaesang Yakin Prabowo Mampu Menguasai Debat Ketiga Pilpres 2024 pemilu2024.harianjogja.com/r… #beritajogja #jogja #jogjaistimewa
Nur Uddin ahmed,@NurUddi57683129,https://nitter.moomoo.me/pic/profile_images%2F1461133631292731398%2FYSgWaDKy_bigger.jpg,"Jan 6, 2024 · 10:42 PM UTC","sipalingganjar     aura nya lluar biasa capres gue 

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
NIDHI SINGH,@NIDHISI99393091,https://nitter.moomoo.me/pic/profile_images%2F1293081011400527872%2FBR-ZesDL_bigger.jpg,"Jan 6, 2024 · 10:40 PM UTC","Ganjar Pranowo, bukan hanya gubernur , tapi juga sosok keluarga yang 

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
bagus sulistyo aji,@bagusaj,https://nitter.moomoo.me/pic/profile_images%2F1251859872519540736%2FBXwB7DNe_bigger.jpg,"Jan 6, 2024 路 10:32 PM UTC","Bismillah saya mau ikutan #nazarpemilu 

Kalau Prabowo Gibran kalah saya akan membuatkan 5 website untuk 5 orang/UMKM ..."
Michael Daher,@michaeldaher,https://nitter.moomoo.me/pic/profile_images%2F1721300235803111424%2Fimti62WS_bigger.png,"Jan 6, 2024 路 10:32 PM UTC","IdahNovita: Saya yakin Ganjar Pranowo dan Mahfud MD adalah pasangan yang tepat untuk membawa perubahan positif bagi negeri ini

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
sukardiyahya162@gmail.com,@sukardiyahya162,https://nitter.moomoo.me/pic/profile_images%2F1708698698950287360%2FtAGNAm3m_bigger.jpg,"Jan 6, 2024 路 10:29 PM UTC","Yg penting itu endingnya @prabowo menerima kekalahan setelah dgn elegan menempuh jalur hukum.
Apalagi @prabowo dgn legowo mau bergabung dalam kabinet presiden @jokowi guna mencegah polarisasi di masyarakat yg makin akut ketika itu !
Masa kita mengingkari fakta ?
Masih waras kan?"
Martin r酶der,@Martinroder1,https://nitter.moomoo.me/pic/abs.twimg.com%2Fsticky%2Fdefault_profile_images%2Fdefault_profile_bigger.png,"Jan 6, 2024 路 10:28 PM UTC","...bermakna adil dan bijak, kepada capres nomor urut 3 Ganjar Pranowo.聽

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
Radar Lampung,@radarlampung,https://nitter.moomoo.me/pic/profile_images%2F1533082454705475586%2Fy0zQZID7_bigger.jpg,"Jan 6, 2024 · 10:27 PM UTC","LSI Rilis Peta Pilpres Terkini, Prabowo-Gibran Unggul di Jawa Timur

radarlampung.disway.id/read/…"
kontenislamcom,@posaktualcom,https://nitter.moomoo.me/pic/profile_images%2F1676888486337740805%2Flm1CxeNV_bigger.jpg,"Jan 6, 2024 · 10:26 PM UTC","Kampanye Minim Gagasan Prabowo Dinilai untuk Tutupi Rekam Jejak
 kontenislam.com/2024/01/kamp…
kontenislam.com/2024/01/kamp…"
Manoj Kumar,@ManojKu05157286,https://nitter.moomoo.me/pic/profile_images%2F1112786439182258176%2FwfPJXDJK_bigger.jpg,"Jan 6, 2024 · 10:25 PM UTC","Ganjar Pranowo Mahfud MD, Pemimpin yang merakyat, hadir untuk memberikan solusi nyata bagi kebutuhan rakyat

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
kontenislamcom,@posaktualcom,https://nitter.moomoo.me/pic/profile_images%2F1676888486337740805%2Flm1CxeNV_bigger.jpg,"Jan 6, 2024 · 10:23 PM UTC","Begini Kata Faisal Basri soal Program Prabowo-Gibran Bagi-bagi Susu dan Makan Siang Gratis
 kontenislam.com/2024/01/begi…
kontenislam.com/2024/01/begi…"
kontenislamcom,@posaktualcom,https://nitter.moomoo.me/pic/profile_images%2F1676888486337740805%2Flm1CxeNV_bigger.jpg,"Jan 6, 2024 · 10:22 PM UTC","3 Analisis Hasto PDIP Soal Pertemuan Empat Mata Prabowo-Jokowi
 kontenislam.com/2024/01/3-an…
kontenislam.com/2024/01/3-an…"
kontenislamcom,@posaktualcom,https://nitter.moomoo.me/pic/profile_images%2F1676888486337740805%2Flm1CxeNV_bigger.jpg,"Jan 6, 2024 · 10:21 PM UTC","Janji Kampanye Prabowo-Gibran Bagi Susu Sapi Harus Direvisi
 kontenislam.com/2024/01/janj…
kontenislam.com/2024/01/janj…"
Furqon Hakim,@frqnhakim,https://nitter.moomoo.me/pic/profile_images%2F1715541129817731072%2F6B181Yu7_bigger.jpg,"Jan 6, 2024 · 10:19 PM UTC","Terimakasih ya Tuhan, Prabowo tidak memiliki partner seperti si Cak Kardus ini! @JoePhiyo 
@cakimiNOW Kalau AMIN #nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies 
x.com/marlina_idha/status/17…"
nguyen minh thy,@kanghyomin,https://nitter.moomoo.me/pic/profile_images%2F1104766637%2Fprivate_1_2750f103038ab6e384097e2f9_bigger.jpg,"Jan 6, 2024 · 10:19 PM UTC","Ganjar Pranowo, bukan hanya pemimpin tapi juga penghibur ulung

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
kwok yin ue,@kimkimkim730,https://nitter.moomoo.me/pic/abs.twimg.com%2Fsticky%2Fdefault_profile_images%2Fdefault_profile_bigger.png,"Jan 6, 2024 · 10:18 PM UTC","Terkait dengan pelanggaran HAM masa lalu, Pak Ganjar memberikan

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
Junaid khan,@Junaidk13060785,https://nitter.moomoo.me/pic/profile_images%2F1313787777251594246%2F43rmhrAS_bigger.jpg,"Jan 6, 2024 · 10:17 PM UTC","GunRomli: Pengamat soal Debat Capres:  Menggurui,  Blunder, Ganjar Realistis dtk

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
kwok yin ue,@kimkimkim730,https://nitter.moomoo.me/pic/abs.twimg.com%2Fsticky%2Fdefault_profile_images%2Fdefault_profile_bigger.png,"Jan 6, 2024 · 10:17 PM UTC","Kalau di hitung secara matematika harusnya pendapatan daerah akan naik signifikan dikarenakan pajak baliho dan reklame para caleg 

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
kontenislamcom,@posaktualcom,https://nitter.moomoo.me/pic/profile_images%2F1676888486337740805%2Flm1CxeNV_bigger.jpg,"Jan 6, 2024 · 10:16 PM UTC","Khawatir jadi Pemimpin Kekanak-kanakan, Prabowo Ditinggalkan Pendukung di Purwokerto
 kontenislam.com/2024/01/khaw…
kontenislam.com/2024/01/khaw…"
kmhy,@janicekonnie,https://nitter.moomoo.me/pic/profile_images%2F1721302915741106176%2FuhAH1Qgz_bigger.png,"Jan 6, 2024 · 10:16 PM UTC","sthevannys_    dan pahami isunya yg penting jgn asal serang aja😂 

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
Lima8Satu,@Lima8Satu,https://nitter.moomoo.me/pic/profile_images%2F1670973424175562752%2FvyoqEoqG_bigger.jpg,"Jan 6, 2024 · 10:16 PM UTC","Part 1
Bocor Alus kembali menguak sebuah kronologi mengapa PSI yang sebelumnya menghujat hingga memberi penghargaan kepada Prabowo sebagai orang terlebay, nyatanya kini berada di pihak yang dimakinya sendiri.

#AsalBukanPrabowo"
Hasan Basdián,@hasanbasdian,https://nitter.moomoo.me/pic/profile_images%2F1732301488951795712%2FVfykzO4q_bigger.jpg,"Jan 6, 2024 · 10:14 PM UTC","Prinsip ekonomi pancasila yang tergagas dari buah pikiran pasangan capres cawapres prabowo gibran yang patut untuk diterapkan demi kesejahteraan masyarakat berdasarkan nilai cita-cita dari ideologi negara kita ""Pancasila"" harus optimis."
ğ�•� Drake,@TheStromBreaker,https://nitter.moomoo.me/pic/profile_images%2F1729906213817872384%2FnVI5iI12_bigger.jpg,"Jan 6, 2024 Â· 10:14 PM UTC","Ikutan ah...  Jika Prabowo Gibran Kalah, gua akan selalu ngasih tips 10rb setiap naik ojol selama setahun. 

#nazarpemilu"
Zaki Hermawan,@zakihrmwnm,https://nitter.moomoo.me/pic/profile_images%2F1714254534569336832%2FwkDDa4mx_bigger.jpg,"Jan 6, 2024 Â· 10:13 PM UTC","Terimakasih ya Tuhan, Prabowo tidak memiliki partner seperti Ceper @_ikhwanyan 
@cakimiNOW Kalau AMIN #nazarpemilu #AMINajaDulu Malming Abah Anies Cak Imin #MulutManisAnies 
x.com/marlina_idha/status/17â€¦"
ivan sotelo,@isvikingsfan,https://nitter.moomoo.me/pic/profile_images%2F1721269768315977728%2FtzBb0KIq_bigger.png,"Jan 6, 2024 Â· 10:12 PM UTC","ğŸ‘�ğŸ¤ŸğŸ¤ŸğŸ¤ŸÂ 

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
Ina Waindzoch,@InaWaindzoch,https://nitter.moomoo.me/pic/abs.twimg.com%2Fsticky%2Fdefault_profile_images%2Fdefault_profile_bigger.png,"Jan 6, 2024 Â· 10:09 PM UTC","Mantap pak Â  Â 

 Ganjar Mahfud Hebat #L3bihbaik #3GM#GanjarMahfud2024 Kalau Prabowo Gibran"
